Name,Age,last_3_yr_avg,predicted_minutes
Danilo Gallinari,32.0,1705.0,1333.4039641542506
Harrison Barnes,28.0,2372.3333333333335,2049.9917445140204
Jarrett Allen,22.0,1937.3333333333333,1992.8043099696117
Jerami Grant,26.0,2111.0,1939.2180041054526
Julius Randle,26.0,2326.3333333333335,2108.9758132707975
Lonzo Ball,23.0,1731.6666666666667,1783.043146972916
Fred VanVleet,26.0,1862.3333333333333,1743.1818963077017
Zach LaVine,25.0,2096.6666666666665,1975.5423961282668
Goran Dragić,34.0,1330.3333333333333,942.7877666565062
Bojan Bogdanović,31.0,2290.6666666666665,1842.737731560378
Domantas Sabonis,24.0,2076.0,2006.873911410924
Eric Gordon,32.0,1321.0,1030.6779639089305
Evan Fournier,28.0,1962.6666666666667,1727.0314543217469
Eric Bledsoe,31.0,2009.6666666666667,1621.2116740891931
Myles Turner,24.0,1800.0,1789.2895987345998
Bogdan Bogdanović,28.0,1672.6666666666667,1498.4102562198123
Terry Rozier,26.0,2112.6666666666665,1940.5319190370728
Ricky Rubio,30.0,1895.6666666666667,1578.9639532011124
Caris LeVert,26.0,1293.0,1294.3485556662026
Jonathan Isaac,22.0,1170.6666666666667,1388.4034414242674
Joe Harris,29.0,2185.6666666666665,1855.209211737796
Spencer Dinwiddie,27.0,1324.0,1271.1633129595916
Clint Capela,26.0,1808.6666666666667,1700.8738355095277
Steven Adams,27.0,1984.6666666666667,1791.9991918538842
Markelle Fultz,22.0,879.3333333333334,1158.7311113770365
Aaron Gordon,25.0,2011.3333333333333,1908.269951629307
OG Anunoby,23.0,1617.0,1692.6457996774384
Dāvis Bertāns,28.0,1559.6666666666667,1409.326823855955
Gary Trent Jr.,22.0,1081.6666666666667,1318.2403840757427
Lauri Markkanen,23.0,1497.0,1598.0439246007759
Marcus Morris,31.0,1843.0,1489.8201809271618
Duncan Robinson,26.0,1529.6666666666667,1480.924475956287
Norman Powell,27.0,1603.3333333333333,1491.375455499156
Dejounte Murray,24.0,1856.3333333333333,1833.6999234233665
Will Barton,30.0,1613.6666666666667,1356.6495467709553
Derrick White,26.0,1489.6666666666667,1449.3905175973996
Taurean Prince,26.0,1438.0,1408.65915471717
Andre Iguodala,37.0,1111.6666666666667,627.5299463236743
Will Barton,30.0,1613.6666666666667,1356.6495467709553
Malik Beasley,24.0,1434.0,1500.7538797507789
Marcus Smart,26.0,1900.0,1772.8763737623208
Patrick Beverley,32.0,1437.0,1122.1264431497043
Thaddeus Young,32.0,1910.6666666666667,1495.5410667161975
Joe Ingles,33.0,2190.6666666666665,1668.654714793661
Jonas Valančiūnas,28.0,1563.6666666666667,1412.4802196918438
Doug McDermott,29.0,1443.6666666666667,1270.2542841804323
Christian Wood,25.0,967.3333333333334,1085.2336384623422
Derrick Rose,32.0,1323.0,1032.2546618268748
Brook Lopez,32.0,2013.6666666666667,1576.741009490333
Kentavious Caldwell-Pope,27.0,1899.6666666666667,1724.9895303412482
Kyle Kuzma,25.0,1931.3333333333333,1845.2020349115319
Justise Winslow,24.0,939.3333333333334,1110.7839280458697
Robert Covington,30.0,1861.0,1551.63452262341
Luke Kennard,24.0,1197.0,1313.9151764743701
T.J. Warren,27.0,1226.3333333333333,1194.167897966641
Deandre Ayton,22.0,1844.6666666666667,1919.7506397715224
Terrence Ross,29.0,1795.3333333333333,1547.4903347523184
Jordan Clarkson,28.0,1912.3333333333333,1687.3512233868134
Dillon Brooks,25.0,1479.6666666666667,1489.1310884424267
Kelly Olynyk,29.0,1703.0,1474.6994475405531
Kelly Oubre Jr.,25.0,1851.6666666666667,1782.396901180081
Josh Hart,25.0,1606.3333333333333,1588.9886232455706
Jusuf Nurkić,26.0,1035.6666666666667,1091.480090224026
Josh Richardson,27.0,2007.3333333333333,1809.8684349239202
Marvin Bagley III,21.0,1004.3333333333334,1304.898791683309
Devonte' Graham,25.0,1515.3333333333333,1517.2488679791013
Dwight Powell,29.0,1229.6666666666667,1101.547606960384
Zion Williamson,20.0,1347.0,1622.6637620591944
Larry Nance Jr.,28.0,1452.6666666666667,1324.9734852459308
Jeremy Lamb,28.0,1435.3333333333333,1311.3087699570794
Richaun Holmes,27.0,1402.6666666666667,1333.1800977320704
Reggie Jackson,30.0,1525.3333333333333,1287.0120553950785
Anthony Edwards,19.0,2314.0,2432.6212658200493
Al-Farouq Aminu,30.0,1035.3333333333333,900.7210654987063
Luka Dončić,21.0,2209.0,2254.5965042584717
Danny Green,33.0,1945.6666666666667,1475.5092198454752
Tomáš Satoranský,29.0,1783.0,1537.7673642583281
Kyle Anderson,27.0,1499.3333333333333,1409.3871637660486
Serge Ibaka,31.0,1483.3333333333333,1206.2773386834979
Derrick Jones Jr.,23.0,1282.0,1428.5488984217552
Jae Crowder,30.0,1896.3333333333333,1579.4895191737605
Montrezl Harrell,27.0,1829.0,1669.2795372405467
Tristan Thompson,29.0,1402.0,1237.4064108899245
Derrick Favors,29.0,1349.3333333333333,1195.8866990507224
Ja Morant,21.0,2063.5,2139.8917307280185
Reggie Bullock,29.0,1504.0,1317.8180047050876
Alec Burks,29.0,1461.3333333333333,1284.1817824556076
Talen Horton-Tucker,20.0,692.5,1106.689368411897
Jaren Jackson Jr.,21.0,1131.6666666666667,1405.2818924591008
James Wiseman,19.0,836.0,1267.441504459155
Nicolas Batum,32.0,1564.6666666666667,1222.7723269118203
Dario Šarić,26.0,1508.6666666666667,1464.3691478178712
Nerlens Noel,26.0,1243.0,1254.931107717593
Jakob Poeltl,25.0,1429.6666666666667,1449.7136404938174
